Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28.0,No,167,Research & Development,12,Master,Life Sciences,Medium,Male,46,High,1,Laboratory Technician,Very High,Married,5253.0,9051,3,Yes,11,Excellent,Low,1,6,1.0,Better,7.0,0,0,0
58.0,No,536,Sales,10,Doctor,Marketing,Very High,Male,82,Very High,3,Sales Executive,High,Divorced,5660.0,21708,0,Yes,14,Excellent,Very High,2,10,2.0,Better,5.0,8,0,8
57.0,No,267,Research & Development,29,Master,Life Sciences,High,Male,49,Medium,1,Laboratory Technician,Medium,Single,6755.0,15919,1,No,13,Excellent,High,0,6,2.0,Better,3.0,2,4,1
27.0,No,1099,Sales,5,Bachelor,Marketing,Medium,Female,88,High,5,Manager,Medium,Married,4774.0,8751,7,No,11,Excellent,High,1,26,2.0,Better,7.0,9,3,10
34.0,No,1188,Sales,20,College,Marketing,Very High,Female,45,High,2,Sales Executive,High,Married,3294.0,24406,1,No,13,MISSING,Very High,1,9,2.0,Good,5.0,8,0,0
30.0,No,1319,Sales,3,Bachelor,Technical Degree,Low,Male,45,Very High,4,Sales Executive,Low,Divorced,3072.0,7739,2,No,12,Excellent,Very High,1,25,4.0,Better,12.0,17,2,8
38.0,No,890,Sales,2,Bachelor,Marketing,Very High,Male,97,High,1,Sales Representative,Very High,Married,8740.0,9687,1,No,13,Excellent,Low,0,2,0.0,Better,8.0,2,2,2
44.0,No,1111,Sales,8,College,Life Sciences,High,Male,93,High,2,Sales Executive,Low,Married,6465.0,13305,5,No,17,MISSING,Medium,1,6,5.0,Better,4.0,2,1,2
30.0,No,163,Research & Development,24,Below College,Technical Degree,Very High,Male,30,High,2,Manufacturing Director,Very High,Single,2476.0,6670,2,No,20,Excellent,Very High,0,9,3.0,Good,1.0,4,1,4
36.0,No,457,Research & Development,26,College,Other,Medium,Male,85,Medium,1,Research Scientist,High,Married,2088.0,10293,1,Yes,14,Excellent,Medium,0,4,3.0,Good,8.0,2,1,3
24.0,No,582,Research & Development,28,Master,Life Sciences,Low,Female,60,Medium,4,Manufacturing Director,Medium,Married,4260.0,5640,0,No,23,Excellent,High,1,21,2.0,Better,5.0,7,0,10
52.0,No,593,Research & Development,9,Master,Medical,Medium,Male,88,High,3,Research Director,High,Single,8446.0,13782,9,No,17,Excellent,High,0,20,2.0,Good,8.0,7,2,13
36.0,No,1218,Research & Development,1,Below College,Life Sciences,Medium,Male,52,High,5,Manager,High,Divorced,4834.0,8213,1,Yes,14,Excellent,High,1,21,3.0,Better,1.0,8,1,6
39.5,No,530,Sales,16,Bachelor,Life Sciences,High,Male,36,High,2,Sales Executive,Very High,Divorced,4768.0,16130,1,Yes,25,Excellent,High,1,7,4.0,Better,1.0,5,1,2
33.0,No,953,Research & Development,5,Master,Technical Degree,Medium,Male,65,High,1,Research Scientist,Medium,Single,2799.0,17674,2,No,14,Excellent,Medium,0,12,1.0,Better,3.0,7,0,7
27.5,No,1380,Research & Development,9,College,Life Sciences,High,Female,75,High,1,Laboratory Technician,Very High,Single,7978.0,6319,1,No,12,Excellent,High,0,2,6.0,Better,10.0,2,2,1
35.0,No,693,Research & Development,7,Bachelor,Life Sciences,Very High,Male,57,Very High,1,Research Scientist,High,Divorced,2269.0,15748,1,No,11,Excellent,Very High,3,4,2.0,Better,1.0,2,0,3
27.0,No,1401,Sales,4,College,Life Sciences,High,Male,56,High,1,Sales Representative,Medium,Married,8726.0,20990,2,No,11,Excellent,Low,1,6,0.0,Better,9.0,3,1,2
37.0,No,326,Sales,8,College,Life Sciences,Low,Female,31,High,3,Sales Executive,Very High,Divorced,5731.0,8386,1,No,18,Excellent,Low,1,13,2.0,Better,6.0,7,9,9
42.0,No,145,Sales,1,Bachelor,Life Sciences,Very High,Female,95,High,2,Sales Executive,High,Married,5410.0,24920,0,No,12,Excellent,Low,1,19,3.0,Better,4.0,7,0,13
23.0,No,1410,Sales,3,Below College,Medical,Very High,Male,71,Very High,2,Sales Executive,Very High,Divorced,1790.0,16673,1,Yes,20,Excellent,Medium,2,6,2.0,Better,1.0,5,0,4
20.0,No,1240,Research & Development,2,Master,Life Sciences,Very High,Female,33,High,1,Laboratory Technician,Low,Divorced,2323.0,19715,1,No,13,Excellent,Very High,1,1,3.0,Better,2.0,0,0,0
33.5,No,916,Research & Development,17,College,Life Sciences,Very High,Male,82,Very High,2,Research Scientist,Low,Single,3375.0,23016,3,Yes,13,Excellent,High,0,10,2.0,Better,3.0,2,0,2
52.0,No,194,Research & Development,9,Bachelor,Life Sciences,Medium,Male,60,High,2,Laboratory Technician,Medium,Divorced,4174.0,10901,8,No,18,Excellent,High,1,20,3.0,Bad,34.0,9,0,15
30.0,Yes,1093,Sales,9,Bachelor,Life Sciences,High,Female,82,Low,4,Sales Executive,High,Married,2693.0,24164,7,No,11,MISSING,High,0,25,5.0,Bad,1.0,5,14,10
35.0,No,933,Research & Development,29,Bachelor,Life Sciences,Medium,Male,98,High,2,Manufacturing Director,Medium,Married,2690.0,11806,1,No,13,Excellent,Very High,1,10,5.0,Good,1.0,8,7,8
28.0,No,1465,Research & Development,1,Bachelor,Medical,Very High,Female,63,High,1,Research Scientist,Medium,Married,3310.0,9369,0,Yes,21,Outstanding,Low,1,12,3.0,Better,5.0,9,5,7
39.0,No,1354,Research & Development,5,Bachelor,Medical,High,Male,45,Medium,3,Manager,Low,Single,3069.0,5615,2,No,12,Excellent,Very High,0,14,3.0,Better,10.0,10,5,8
59.0,No,849,Sales,26,College,Life Sciences,Medium,Female,98,Medium,2,Sales Executive,Medium,Single,13726.0,25166,8,No,15,Excellent,High,0,6,4.0,Better,5.0,2,2,2
34.0,No,571,Research & Development,12,College,Other,Very High,Male,78,High,1,Laboratory Technician,Very High,Single,2008.0,13672,1,No,13,MISSING,High,0,5,2.0,Best,1.0,2,1,4
35.0,No,1333,Research & Development,1,Bachelor,Technical Degree,Very High,Male,80,High,3,Research Director,Low,Married,8394.0,16292,1,No,13,Excellent,Medium,1,15,3.0,Better,13.0,12,5,11
37.0,No,625,Research & Development,4,Bachelor,Medical,Very High,Female,50,High,2,Healthcare Representative,Medium,Single,3452.0,5197,9,No,12,Outstanding,Very High,0,10,3.0,Good,5.0,2,2,3
38.0,No,1242,Sales,8,Master,Life Sciences,Low,Female,46,High,2,Sales Executive,Low,Married,4174.0,10589,2,No,13,MISSING,Very High,1,8,3.0,Bad,7.0,2,2,2
51.0,No,1154,Sales,2,College,Life Sciences,Low,Male,54,High,1,Sales Representative,High,Married,4174.0,6393,0,No,19,Outstanding,High,1,3,4.0,Better,4.0,2,1,2
45.5,No,119,Sales,3,Bachelor,Life Sciences,Low,Male,76,High,3,Sales Executive,High,Divorced,5003.0,9647,0,No,12,Outstanding,High,2,17,6.0,Good,10.0,10,5,13
36.0,No,1144,Sales,10,Below College,Medical,Very High,Male,74,High,1,Sales Representative,Medium,Married,9980.0,23384,1,No,22,Excellent,Medium,0,1,3.0,Better,10.0,0,0,0
31.0,No,309,Human Resources,2,Bachelor,Human Resources,High,Female,82,High,1,Human Resources,Medium,Married,3978.0,19655,4,No,14,Excellent,High,0,6,0.0,Better,2.0,0,1,2
33.5,No,1434,Sales,8,Master,Life Sciences,Low,Male,76,Medium,3,Sales Executive,Low,Single,18944.0,14229,1,No,15,Excellent,Medium,0,10,2.0,Better,22.0,7,0,9
38.0,No,285,Research & Development,29,Bachelor,Medical,Medium,Female,86,High,2,Laboratory Technician,High,Married,2064.0,17491,4,No,13,Excellent,Low,2,10,4.0,Better,6.0,7,7,7
39.5,No,192,Research & Development,10,College,Life Sciences,Low,Female,69,High,1,Research Scientist,Very High,Married,3038.0,9655,3,No,21,Excellent,Very High,2,8,3.0,Good,1.0,2,0,2
40.0,No,452,Research & Development,1,Bachelor,Medical,Very High,Male,81,High,5,Manager,Low,Single,10475.0,18938,0,Yes,14,MISSING,High,0,37,2.0,Better,18.0,10,4,13
33.0,No,1219,Sales,18,Bachelor,Medical,High,Male,86,High,2,Sales Executive,High,Married,7104.0,6179,1,No,16,MISSING,Medium,0,5,2.0,Better,5.0,2,1,0
39.5,No,1272,Research & Development,5,Bachelor,Technical Degree,High,Male,37,Medium,3,Healthcare Representative,Medium,Divorced,9610.0,9255,2,Yes,13,Excellent,Very High,1,24,2.0,Better,4.0,0,0,4
36.0,Yes,1141,Research & Development,11,College,Medical,Low,Male,61,Low,2,Healthcare Representative,Medium,Married,4678.0,14382,5,No,15,Excellent,Low,0,15,3.0,Bad,6.0,0,0,0
37.0,No,506,Research & Development,3,Bachelor,Technical Degree,High,Male,30,High,2,Research Scientist,Medium,Single,10609.0,26285,4,No,12,Excellent,Very High,0,10,2.0,Better,14.0,0,7,7
39.5,No,287,Research & Development,1,Master,Life Sciences,High,Female,62,Low,1,Research Scientist,Very High,Married,10504.0,8952,1,No,12,Excellent,Very High,1,4,5.0,Better,17.0,3,1,1
46.0,No,1017,Research & Development,1,College,Medical,High,Female,83,Medium,1,Research Scientist,Low,Married,16872.0,18697,2,No,14,Excellent,Low,1,17,2.0,Good,7.0,1,0,2
27.5,No,1213,Human Resources,2,Below College,Human Resources,Medium,Female,94,Medium,2,Human Resources,Very High,Single,7525.0,4223,1,No,21,Excellent,Very High,0,10,2.0,Good,15.0,1,0,8
48.0,No,750,Sales,22,College,Marketing,High,Female,95,High,2,Sales Executive,Medium,Married,6439.0,15480,0,No,13,Excellent,Low,1,8,2.0,Best,8.0,7,0,7
50.0,No,1383,Research & Development,10,Bachelor,Life Sciences,Very High,Male,90,High,3,Healthcare Representative,Low,Married,17924.0,25949,7,Yes,13,Excellent,Very High,1,15,3.0,Better,31.0,8,5,7
34.0,No,444,Research & Development,2,Below College,Medical,High,Male,40,Medium,4,Manager,Low,Single,9547.0,17323,7,No,15,Excellent,Medium,0,31,2.0,Best,10.0,7,6,2
39.5,No,532,Research & Development,29,College,Life Sciences,Low,Male,92,High,2,Research Scientist,High,Divorced,12614.0,12932,2,No,11,MISSING,Medium,1,19,3.0,Better,2.0,4,0,2
55.0,No,1157,Sales,2,Master,Life Sciences,High,Male,70,High,1,Sales Representative,Very High,Single,2064.0,17001,3,Yes,21,Excellent,Very High,0,7,3.0,Good,9.0,2,1,2
45.0,Yes,360,Research & Development,23,Bachelor,Medical,High,Male,93,High,1,Research Scientist,Low,Single,16704.0,22154,0,No,13,Excellent,Low,0,6,2.0,Better,21.0,2,0,3
35.0,No,480,Research & Development,7,College,Medical,Medium,Male,31,High,2,Manufacturing Director,Low,Married,1951.0,4156,1,No,12,MISSING,Medium,1,13,3.0,Bad,1.0,10,3,12
40.0,No,335,Sales,17,College,Marketing,High,Male,33,Medium,2,Sales Executive,Medium,Married,2018.0,16822,2,No,16,Excellent,High,2,12,3.0,Bad,5.0,2,1,3
33.5,No,857,Research & Development,10,Bachelor,Life Sciences,Very High,Male,91,Medium,4,Manager,Low,Divorced,2235.0,12888,4,No,13,Excellent,Medium,1,21,3.0,Good,7.5,6,7,7
47.0,No,1018,Research & Development,3,College,Life Sciences,High,Male,39,High,3,Research Director,Very High,Single,12936.0,19373,3,No,15,Excellent,Very High,0,10,3.0,Better,2.5,7,7,7
36.0,No,1319,Research & Development,6,Bachelor,Medical,High,Female,51,Very High,2,Research Scientist,Low,Divorced,7094.0,17001,4,Yes,13,Excellent,Low,2,13,0.0,Better,7.0,7,6,7
29.0,No,1391,Research & Development,10,Below College,Medical,High,Male,66,High,1,Research Scientist,High,Married,2804.0,12127,0,No,17,Excellent,Medium,1,3,3.0,Good,1.0,1,0,2
33.5,No,664,Research & Development,1,Bachelor,Medical,Medium,Male,79,High,1,Research Scientist,Low,Married,5914.0,5868,4,No,13,Excellent,Very High,1,5,3.0,Good,13.0,2,1,2
24.0,No,580,Sales,5,Master,Life Sciences,Very High,Male,48,Medium,3,Sales Executive,Low,Married,3597.0,23772,5,Yes,21,MISSING,High,1,20,2.0,Better,4.0,13,1,12
39.0,No,552,Human Resources,4,Bachelor,Human Resources,High,Male,60,Low,2,Human Resources,Medium,Married,6472.0,20794,6,No,19,Excellent,Medium,1,10,2.0,Better,9.0,2,1,2
24.0,No,1332,Research & Development,11,College,Medical,High,Male,80,High,2,Healthcare Representative,Low,Married,2725.0,17089,1,Yes,12,Excellent,Very High,0,6,3.0,Good,6.0,5,0,1
41.0,No,804,Research & Development,9,Bachelor,Life Sciences,Low,Female,64,High,1,Laboratory Technician,Very High,Married,19545.0,20165,4,No,18,Excellent,Medium,0,8,0.0,Better,22.0,0,0,0
43.0,No,849,Research & Development,25,College,Life Sciences,Low,Male,81,Medium,3,Research Director,Medium,Married,2064.0,26707,3,No,17,Excellent,High,1,19,3.0,Better,7.5,8,0,1
34.0,No,976,Sales,26,Master,Marketing,High,Female,100,High,2,Sales Executive,Very High,Married,2064.0,12069,0,No,18,Excellent,Low,0,4,3.0,Better,2.0,2,2,2
45.0,No,153,Research & Development,15,College,Life Sciences,Very High,Male,49,Medium,2,Laboratory Technician,High,Single,5210.0,12682,0,Yes,12,Excellent,Very High,0,10,2.0,Better,24.0,5,0,8
58.0,No,1195,Research & Development,11,Bachelor,Life Sciences,Medium,Male,95,Medium,2,Manufacturing Director,Medium,Single,2064.0,22656,1,No,13,MISSING,High,0,6,2.0,Better,31.0,5,0,3
37.0,No,594,Research & Development,2,College,Medical,High,Male,75,Medium,1,Laboratory Technician,Medium,Married,6502.0,15963,4,No,14,Excellent,Medium,1,9,3.0,Good,5.0,1,0,5
24.0,No,216,Research & Development,6,College,Medical,Medium,Male,84,High,2,Manufacturing Director,Medium,Divorced,4617.0,2819,6,No,20,Excellent,Very High,2,7,2.0,Better,7.5,2,0,1
38.0,Yes,334,Sales,26,Master,Marketing,High,Male,52,Medium,2,Sales Executive,Low,Single,2064.0,22967,5,No,15,Excellent,High,0,9,2.0,Good,6.0,3,0,1
31.0,Yes,935,Research & Development,3,Bachelor,Life Sciences,Low,Male,89,High,1,Laboratory Technician,Low,Married,9936.0,14669,4,No,12,Excellent,High,0,10,2.0,Best,9.0,2,1,2
55.0,No,1297,Research & Development,5,College,Life Sciences,Very High,Male,53,High,1,Laboratory Technician,Very High,Single,10976.0,19826,0,Yes,14,Excellent,High,0,6,4.0,Good,3.0,4,0,2
44.0,No,759,Sales,2,College,Marketing,Very High,Male,46,High,2,Sales Executive,Medium,Divorced,2559.0,22553,7,No,12,Excellent,High,2,8,0.0,Better,8.0,4,1,3
60.0,Yes,1373,Research & Development,2,College,Other,Very High,Male,92,Medium,1,Laboratory Technician,High,Single,6284.0,2396,6,Yes,15,Outstanding,Medium,0,7,2.0,Better,1.0,0,0,0
29.0,No,772,Research & Development,2,Below College,Life Sciences,Very High,Female,77,Very High,2,Manufacturing Director,High,Divorced,16834.0,4973,1,No,17,Outstanding,High,2,7,5.0,Better,0.0,7,0,7
53.0,No,1062,Research & Development,24,Bachelor,Medical,High,Male,96,Medium,2,Healthcare Representative,Low,Single,17584.0,17198,1,No,19,Excellent,Medium,0,10,2.0,Better,5.0,9,1,8
27.0,No,329,Research & Development,1,College,Life Sciences,Very High,Male,98,Medium,1,Laboratory Technician,Low,Married,4621.0,16193,1,No,12,MISSING,High,1,4,4.0,Better,3.0,2,3,2
39.5,No,185,Research & Development,23,Master,Medical,Medium,Female,91,Low,1,Laboratory Technician,High,Married,5855.0,9696,0,No,16,Excellent,Medium,1,6,2.0,Best,9.0,4,0,3
37.0,No,1377,Sales,2,Bachelor,Life Sciences,Very High,Male,74,High,2,Sales Executive,High,Single,3564.0,5242,1,Yes,11,Excellent,Low,0,5,3.0,Better,8.0,4,0,4
34.0,No,823,Research & Development,6,Bachelor,Medical,Low,Female,81,Medium,5,Manager,High,Married,2742.0,22539,7,No,13,Excellent,Very High,0,21,2.0,Better,2.0,12,6,14
31.0,No,1398,Sales,2,Master,Life Sciences,High,Male,79,High,5,Manager,High,Married,4197.0,13022,0,No,14,Excellent,Very High,0,21,2.0,Better,10.0,15,1,12
37.0,No,405,Research & Development,1,College,Life Sciences,Medium,Male,93,Very High,2,Research Scientist,High,Married,10048.0,2721,0,No,24,MISSING,Low,1,13,5.0,Good,1.0,9,2,8
45.0,No,408,Research & Development,9,Master,Life Sciences,High,Male,42,Medium,1,Research Scientist,Medium,Single,2064.0,7551,0,Yes,16,Outstanding,Very High,0,3,1.0,Better,20.0,2,2,2
51.0,No,1092,Research & Development,9,Bachelor,Life Sciences,High,Female,60,Medium,1,Laboratory Technician,Medium,Divorced,4936.0,26551,1,No,11,Excellent,High,3,1,2.0,Better,7.0,0,0,0
30.0,No,532,Research & Development,4,College,Technical Degree,High,Male,58,High,5,Manager,Very High,Married,4152.0,4933,1,No,11,Excellent,Very High,0,22,3.0,Better,11.0,17,11,15
45.0,Yes,1320,Research & Development,8,Below College,Medical,Very High,Female,93,Medium,1,Laboratory Technician,High,Single,5006.0,20586,1,Yes,11,Excellent,Low,0,5,3.0,Better,5.0,4,1,2
21.5,No,1322,Research & Development,28,Bachelor,Life Sciences,Very High,Female,43,High,4,Research Director,Low,Married,6545.0,22422,4,Yes,11,Excellent,Medium,0,25,1.0,Better,3.0,2,1,2
28.0,No,1312,Research & Development,23,Bachelor,Life Sciences,Low,Male,96,Low,1,Research Scientist,High,Divorced,2713.0,22310,1,No,25,MISSING,High,3,10,2.0,Good,5.0,7,0,9
56.0,No,957,Research & Development,28,Bachelor,Medical,Medium,Female,72,Very High,1,Research Scientist,High,Single,2064.0,16090,4,No,12,Excellent,Very High,0,18,2.0,Better,5.0,2,1,2
35.0,No,603,Research & Development,7,Master,Medical,Medium,Female,78,Very High,2,Research Scientist,Medium,Married,6284.0,5628,6,Yes,16,Excellent,Very High,0,18,2.0,Better,9.0,0,0,0
35.0,No,136,Research & Development,28,Bachelor,Life Sciences,Very High,Male,32,High,4,Research Director,Low,Married,4174.0,22074,3,No,13,Excellent,High,1,24,5.0,Best,5.0,6,14,17
39.5,No,581,Research & Development,9,Bachelor,Medical,High,Female,62,Very High,1,Research Scientist,High,Married,2693.0,17616,1,No,16,Excellent,Very High,1,5,3.0,Better,1.0,3,0,4
49.0,Yes,869,Sales,3,College,Marketing,Low,Male,86,Medium,1,Sales Representative,High,Married,4174.0,3810,1,Yes,14,Excellent,High,0,3,2.0,Better,7.5,2,0,2
29.0,No,775,Sales,29,College,Medical,Low,Male,45,High,2,Sales Executive,High,Divorced,6644.0,4267,5,No,12,Excellent,Low,2,8,2.0,Better,0.0,0,0,0
33.5,No,658,Sales,10,Master,Marketing,Low,Male,67,Medium,3,Sales Executive,Medium,Divorced,2983.0,20652,2,No,12,Excellent,Medium,1,11,3.0,Good,3.0,0,0,0
34.0,Yes,1294,Research & Development,8,Below College,Medical,High,Male,79,High,1,Laboratory Technician,Low,Married,2768.0,15999,1,Yes,17,Excellent,High,0,1,3.0,Better,7.0,0,0,0
41.0,No,895,Sales,9,College,Medical,Low,Male,39,High,1,Sales Representative,Very High,Single,19189.0,2851,1,No,24,Excellent,High,0,3,3.0,Good,22.0,2,2,2
58.0,No,1456,Research & Development,1,Master,Medical,Low,Female,30,Medium,3,Healthcare Representative,Low,Single,10552.0,25796,3,No,20,Excellent,High,0,23,3.0,Good,6.0,12,12,8
40.0,No,1050,Research & Development,11,Master,Medical,Medium,Female,87,High,4,Manager,Very High,Divorced,10435.0,24456,3,No,20,Excellent,Low,1,26,3.0,Better,18.0,9,1,12
38.0,No,1229,Research & Development,8,Below College,Life Sciences,Very High,Male,36,Very High,1,Laboratory Technician,Very High,Married,5321.0,4892,1,No,19,Excellent,Very High,0,1,1.0,Better,8.0,0,0,1
39.5,No,1086,Research & Development,7,Below College,Medical,Low,Female,62,Medium,1,Laboratory Technician,Very High,Divorced,4174.0,6054,6,No,14,Excellent,High,3,8,6.0,Better,1.0,3,0,3
60.0,No,529,Research & Development,2,Bachelor,Technical Degree,Very High,Male,78,High,1,Research Scientist,Low,Single,5405.0,11288,1,No,14,Excellent,Very High,0,4,1.0,Better,2.0,2,1,2
45.0,Yes,920,Human Resources,20,College,Medical,Very High,Male,69,High,1,Human Resources,Medium,Married,10851.0,6889,0,Yes,11,Excellent,High,0,6,2.0,Better,7.0,1,1,4
34.0,No,977,Research & Development,2,Below College,Other,Very High,Female,57,High,1,Laboratory Technician,High,Divorced,6029.0,7298,6,Yes,19,Excellent,High,1,7,3.0,Good,2.0,2,0,2
28.0,No,888,Human Resources,10,Master,Human Resources,High,Male,71,High,2,Human Resources,High,Married,4908.0,14814,3,No,11,MISSING,High,0,10,3.0,Better,4.0,3,1,2
34.0,No,216,Sales,1,Master,Marketing,Medium,Male,75,Very High,2,Sales Executive,Very High,Divorced,2691.0,12278,0,No,11,Excellent,Very High,1,16,4.0,Good,10.0,1,0,9
41.0,No,1351,Research & Development,1,Master,Life Sciences,Medium,Male,45,High,2,Research Scientist,Very High,Married,2289.0,13008,9,No,17,Outstanding,Medium,1,9,2.0,Good,5.0,2,2,1
39.0,No,1297,Research & Development,1,Master,Medical,Medium,Male,44,High,2,Healthcare Representative,High,Single,12169.0,14511,4,No,12,Excellent,High,0,12,3.0,Better,18.0,2,0,3
38.0,No,1117,Research & Development,8,College,Life Sciences,Very High,Male,66,High,1,Research Scientist,Very High,Single,4735.0,4488,1,No,21,Excellent,Very High,0,5,3.0,Better,13.0,3,0,2
36.0,No,1372,Sales,18,Below College,Life Sciences,Low,Male,93,Very High,2,Sales Executive,High,Married,2342.0,12477,2,No,11,Outstanding,Medium,0,6,3.0,Good,5.0,2,1,2
37.0,Yes,286,Research & Development,2,Master,Life Sciences,Very High,Male,31,High,5,Research Director,Medium,Single,4197.0,25761,7,Yes,12,MISSING,Very High,0,40,2.0,Better,1.0,15,13,8
25.0,No,142,Sales,9,Master,Medical,Low,Male,69,High,3,Sales Executive,Medium,Divorced,4000.0,24666,1,No,13,Excellent,Very High,1,9,2.0,Better,6.0,5,7,7
30.0,No,444,Sales,5,Bachelor,Marketing,Very High,Female,84,High,1,Sales Representative,Medium,Divorced,4968.0,3909,1,No,11,MISSING,High,1,2,2.0,Good,9.0,2,2,2
35.0,No,1283,Sales,2,Bachelor,Marketing,Very High,Female,62,High,2,Sales Executive,Medium,Single,4859.0,10697,8,No,15,MISSING,Very High,0,13,3.0,Good,5.0,7,1,7
47.0,Yes,381,Research & Development,9,Bachelor,Medical,Medium,Male,89,High,1,Laboratory Technician,Low,Single,2064.0,16998,2,Yes,11,Outstanding,High,0,4,3.0,Good,17.0,0,0,0
21.0,No,558,Sales,2,Bachelor,Marketing,Very High,Male,75,High,2,Sales Executive,High,Married,1232.0,3010,4,Yes,11,Excellent,High,1,17,6.0,Good,0.0,0,1,0
30.0,Yes,1045,Sales,4,Master,Medical,Very High,Male,32,Low,3,Sales Executive,Very High,Married,9250.0,25812,1,No,11,Excellent,High,0,14,3.0,Good,4.0,8,9,8
32.0,No,1454,Sales,2,Master,Life Sciences,Very High,Male,65,Medium,1,Sales Representative,Very High,Single,4087.0,13137,1,Yes,18,MISSING,Low,0,3,3.0,Good,6.0,2,1,2
45.0,Yes,603,Sales,9,Master,Marketing,Low,Male,77,High,2,Sales Executive,Low,Single,6284.0,18385,0,Yes,17,Excellent,Low,0,6,3.0,Better,10.0,2,0,3
34.0,No,604,Sales,8,Bachelor,Medical,High,Female,56,Very High,2,Sales Executive,Very High,Married,2231.0,11693,1,No,15,Excellent,High,2,10,3.0,Best,4.0,7,0,8
33.0,No,1342,Sales,9,College,Medical,Low,Female,47,High,2,Sales Executive,Low,Married,5324.0,19345,0,No,12,Excellent,Very High,0,9,6.0,Best,3.0,4,7,1
32.0,No,501,Sales,27,Doctor,Marketing,High,Female,99,High,2,Sales Executive,Very High,Divorced,11159.0,25275,7,No,23,Excellent,Very High,1,10,6.0,Good,7.0,7,7,7
54.0,No,840,Research & Development,9,Bachelor,Medical,Low,Female,64,High,5,Research Director,High,Divorced,17426.0,3735,2,No,17,Outstanding,Medium,1,21,6.0,Best,10.0,16,0,11
33.5,No,1239,Human Resources,8,College,Other,High,Male,89,High,2,Human Resources,Medium,Divorced,4950.0,12832,2,No,13,Excellent,High,0,19,4.0,Good,4.0,0,4,7
39.0,No,182,Research & Development,8,Doctor,Life Sciences,Low,Male,93,High,4,Research Director,Medium,Single,10920.0,8847,3,No,11,Outstanding,High,0,9,2.0,Best,6.0,2,1,0
30.0,Yes,950,Sales,4,Master,Marketing,Very High,Male,48,Medium,2,Sales Executive,Very High,Single,8474.0,8450,1,Yes,12,Outstanding,Medium,0,8,2.0,Better,11.0,7,7,4
39.5,No,855,Sales,7,Master,Marketing,Very High,Female,73,High,2,Sales Executive,Low,Divorced,16834.0,12761,7,No,14,Excellent,Medium,2,8,4.0,Better,19.0,2,0,2
46.0,No,412,Research & Development,13,Master,Medical,High,Male,94,Medium,4,Manager,Medium,Divorced,10673.0,17334,6,Yes,13,Excellent,Very High,2,21,5.0,Better,7.5,9,15,2
30.0,No,369,Research & Development,8,College,Life Sciences,Medium,Female,92,High,2,Manufacturing Director,Low,Married,4011.0,5041,2,Yes,16,Outstanding,Medium,1,18,2.0,Better,12.0,0,0,0
53.0,No,1323,Research & Development,2,Bachelor,Life Sciences,High,Male,89,Medium,1,Laboratory Technician,Very High,Single,2450.0,3300,7,No,15,Excellent,Medium,0,6,4.0,Good,2.0,2,2,2
45.0,No,1153,Research & Development,6,College,Other,Very High,Male,40,Medium,1,Laboratory Technician,High,Married,2348.0,16376,1,No,11,Excellent,Medium,1,5,2.0,Better,17.0,4,0,4
31.0,Yes,992,Research & Development,1,Bachelor,Technical Degree,High,Male,85,High,1,Research Scientist,High,Single,5582.0,19757,0,No,14,Outstanding,Very High,0,7,2.0,Good,9.0,2,1,5
47.0,No,515,Research & Development,1,College,Life Sciences,Low,Male,98,High,3,Research Director,Very High,Single,5467.0,15146,1,Yes,12,Excellent,High,0,15,4.0,Better,8.0,14,8,12
45.5,No,325,Research & Development,10,Master,Technical Degree,Very High,Female,63,High,3,Healthcare Representative,High,Married,4174.0,5747,3,No,12,Outstanding,Low,0,10,3.0,Better,2.0,7,1,7
39.5,Yes,143,Sales,4,Bachelor,Marketing,Low,Male,56,High,2,Sales Executive,Medium,Single,2064.0,9558,1,No,18,Excellent,High,0,8,2.0,Better,10.0,7,7,7
49.0,No,694,Research & Development,1,Bachelor,Life Sciences,Very High,Female,87,Medium,4,Research Director,Very High,Divorced,13964.0,3423,3,No,14,MISSING,Medium,2,9,2.0,Good,7.0,7,1,7
38.0,No,193,Research & Development,2,Bachelor,Life Sciences,Very High,Male,52,Medium,1,Laboratory Technician,Very High,Married,2610.0,14222,1,Yes,12,Excellent,Medium,1,2,2.0,Better,4.0,2,2,2
28.0,No,1070,Research & Development,3,Master,Medical,High,Male,45,High,4,Research Director,High,Married,2028.0,21016,3,Yes,16,Excellent,Very High,3,21,2.0,Good,4.0,3,1,3
30.0,No,1176,Sales,3,College,Medical,Medium,Male,62,High,2,Sales Executive,High,Married,2064.0,3487,1,No,14,MISSING,Low,1,6,2.0,Good,1.0,0,1,2
36.0,No,1280,Research & Development,7,Below College,Medical,Very High,Male,64,Medium,1,Research Scientist,Very High,Married,3886.0,26897,1,No,11,Outstanding,High,2,2,2.0,Better,10.0,2,2,1
42.0,No,469,Research & Development,3,Bachelor,Technical Degree,High,Male,46,High,1,Research Scientist,Medium,Married,17861.0,9256,1,No,12,Excellent,High,0,12,3.0,Good,20.0,10,0,7
