,Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
234,19.0,No,1064,Research & Development,2,Below College,Life Sciences,Medium,Female,42,High,5,Research Director,Very High,Married,6284.0,13738,3,No,15,Outstanding,Very High,0,28,2.0,Better,1.0,4,4,3
235,36.0,No,549,Research & Development,7,College,Medical,Very High,Male,42,High,2,Manufacturing Director,High,Single,2013.0,23371,6,No,14,Excellent,Medium,0,8,3.0,Better,2.5,2,2,1
236,35.0,No,1495,Research & Development,5,Master,Technical Degree,Low,Male,96,High,2,Healthcare Representative,High,Married,4174.0,21534,2,No,14,Excellent,Medium,1,20,2.0,Good,2.0,2,1,2
237,31.0,No,392,Sales,2,Master,Medical,Very High,Female,93,High,2,Sales Executive,Very High,Divorced,4424.0,3921,1,No,14,Outstanding,High,2,6,2.0,Better,11.0,2,0,4
238,45.0,Yes,296,Sales,6,College,Marketing,Very High,Male,33,Low,1,Sales Representative,High,Divorced,6434.0,12253,0,No,16,Excellent,Very High,1,3,1.0,Good,3.0,2,1,0
239,57.5,No,618,Research & Development,3,Below College,Life Sciences,Low,Female,45,High,2,Healthcare Representative,Very High,Single,4505.0,22266,0,No,17,Excellent,High,0,7,3.0,Good,1.0,2,0,4
242,32.0,No,1127,Research & Development,18,Below College,Life Sciences,Medium,Female,52,High,1,Laboratory Technician,High,Married,6284.0,13257,0,No,12,Excellent,High,1,6,4.0,Better,8.0,3,1,2
244,55.0,No,1220,Research & Development,5,Bachelor,Life Sciences,High,Female,85,High,1,Research Scientist,Medium,Single,14756.0,20938,1,Yes,12,Excellent,Medium,0,4,4.0,Good,5.0,3,1,2
245,37.0,No,509,Research & Development,7,College,Technical Degree,Medium,Male,43,Very High,1,Research Scientist,High,Married,12185.0,18863,1,No,13,Excellent,High,0,10,1.0,Better,10.0,6,0,8
248,35.0,No,1147,Human Resources,10,Bachelor,Human Resources,High,Male,31,High,4,Manager,Low,Married,2258.0,16616,0,No,14,Excellent,High,1,21,2.0,Better,8.0,7,0,9
252,40.0,No,1229,Sales,8,Master,Technical Degree,Low,Male,84,High,2,Sales Executive,Very High,Divorced,4661.0,25952,4,No,13,Excellent,Very High,2,12,4.0,Better,9.0,7,0,7
253,22.0,No,1479,Research & Development,1,Bachelor,Life Sciences,High,Male,84,High,2,Manufacturing Director,Medium,Divorced,3894.0,26767,1,No,20,Excellent,Low,1,6,3.0,Bad,2.0,5,1,4
255,50.0,No,718,Research & Development,4,Master,Technical Degree,Very High,Male,92,High,5,Manager,Low,Divorced,2064.0,18575,4,No,13,Excellent,Very High,1,28,3.0,Better,6.0,2,4,2
256,33.0,No,1098,Research & Development,4,College,Medical,Low,Male,85,Medium,5,Manager,High,Married,11691.0,12124,2,No,13,Excellent,High,1,23,3.0,Best,13.0,0,0,0
257,33.5,No,471,Research & Development,12,Bachelor,Life Sciences,Low,Male,45,Medium,2,Healthcare Representative,Low,Divorced,2559.0,4284,2,No,15,Excellent,High,1,13,4.0,Good,1.0,3,1,2
258,51.0,No,1448,Research & Development,29,Bachelor,Technical Degree,Medium,Male,55,High,3,Manufacturing Director,Very High,Married,4174.0,14720,4,Yes,18,Excellent,Very High,2,10,2.0,Best,4.0,1,1,2
259,41.0,Yes,1017,Research & Development,25,Bachelor,Medical,Low,Female,55,Medium,1,Research Scientist,Medium,Single,6284.0,2993,4,Yes,20,Excellent,Medium,0,5,3.0,Better,18.0,2,2,2
260,29.0,Yes,465,Research & Development,2,College,Life Sciences,Low,Female,39,High,1,Laboratory Technician,Low,Married,2168.0,21509,7,No,20,Excellent,Low,0,13,2.0,Best,5.0,7,1,7
263,40.0,Yes,135,Research & Development,17,Master,Life Sciences,Very High,Male,51,High,1,Research Scientist,High,Single,4327.0,25681,1,Yes,13,Excellent,Very High,0,8,2.0,Better,0.0,2,7,7
266,36.0,Yes,1334,Research & Development,10,Bachelor,Life Sciences,High,Male,36,Medium,1,Laboratory Technician,Low,Single,5406.0,17258,1,No,13,Outstanding,Low,0,1,4.0,Good,15.0,0,1,0
268,57.5,No,890,Research & Development,25,Master,Medical,High,Female,81,Medium,4,Manufacturing Director,Very High,Married,3760.0,19028,3,No,22,Excellent,High,0,31,2.0,Better,6.0,8,0,0
269,35.0,No,345,Sales,10,College,Life Sciences,Low,Male,100,High,2,Sales Executive,Very High,Married,4312.0,5982,1,No,11,Excellent,High,1,10,3.0,Better,15.0,7,1,9
271,36.0,No,302,Research & Development,6,Bachelor,Life Sciences,Medium,Male,75,High,4,Manufacturing Director,High,Single,12614.0,20364,7,No,15,Excellent,High,0,22,2.0,Better,13.0,6,5,13
272,24.0,No,1383,Human Resources,2,Bachelor,Life Sciences,Very High,Female,42,Medium,2,Human Resources,Very High,Married,4577.0,7790,8,No,11,Excellent,High,2,13,3.0,Better,2.0,4,0,4
274,31.0,No,1268,Sales,4,College,Life Sciences,High,Male,30,High,2,Sales Executive,Low,Divorced,2911.0,6319,4,Yes,11,MISSING,Low,1,9,1.0,Best,5.0,4,0,3
275,24.0,No,593,Research & Development,1,Master,Medical,Very High,Male,88,High,2,Healthcare Representative,High,Married,4174.0,2967,2,No,11,Excellent,High,0,15,2.0,Better,5.0,2,1,2
276,29.0,No,1206,Research & Development,17,Below College,Medical,Very High,Female,41,Medium,2,Manufacturing Director,High,Divorced,2546.0,24117,1,No,15,Excellent,Medium,2,5,2.0,Better,2.0,2,3,2
277,46.0,No,1169,Human Resources,8,College,Medical,Medium,Female,63,Medium,1,Human Resources,Very High,Divorced,7314.0,23965,1,No,13,Outstanding,Very High,1,6,2.0,Better,8.0,1,0,4
279,31.0,No,408,Research & Development,19,College,Life Sciences,Medium,Male,73,High,1,Research Scientist,Medium,Married,12614.0,10227,4,No,21,Excellent,Low,0,8,1.0,Better,10.0,0,0,0
280,32.0,No,1223,Research & Development,7,College,Medical,Very High,Male,50,High,5,Manager,High,Divorced,5484.0,18640,3,No,18,Excellent,Medium,1,26,2.0,Better,13.0,7,4,7
283,28.0,No,167,Research & Development,12,Master,Life Sciences,Medium,Male,46,High,1,Laboratory Technician,Very High,Married,5253.0,9051,3,Yes,11,Excellent,Low,1,6,1.0,Better,7.0,0,0,0
284,58.0,No,536,Sales,10,Doctor,Marketing,Very High,Male,82,Very High,3,Sales Executive,High,Divorced,5660.0,21708,0,Yes,14,Excellent,Very High,2,10,2.0,Better,5.0,8,0,8
285,57.0,No,267,Research & Development,29,Master,Life Sciences,High,Male,49,Medium,1,Laboratory Technician,Medium,Single,6755.0,15919,1,No,13,Excellent,High,0,6,2.0,Better,3.0,2,4,1
286,27.0,No,1099,Sales,5,Bachelor,Marketing,Medium,Female,88,High,5,Manager,Medium,Married,4774.0,8751,7,No,11,Excellent,High,1,26,2.0,Better,7.0,9,3,10
287,34.0,No,1188,Sales,20,College,Marketing,Very High,Female,45,High,2,Sales Executive,High,Married,3294.0,24406,1,No,13,MISSING,Very High,1,9,2.0,Good,5.0,8,0,0
291,30.0,No,163,Research & Development,24,Below College,Technical Degree,Very High,Male,30,High,2,Manufacturing Director,Very High,Single,2476.0,6670,2,No,20,Excellent,Very High,0,9,3.0,Good,1.0,4,1,4
292,36.0,No,457,Research & Development,26,College,Other,Medium,Male,85,Medium,1,Research Scientist,High,Married,2088.0,10293,1,Yes,14,Excellent,Medium,0,4,3.0,Good,8.0,2,1,3
293,24.0,No,582,Research & Development,28,Master,Life Sciences,Low,Female,60,Medium,4,Manufacturing Director,Medium,Married,4260.0,5640,0,No,23,Excellent,High,1,21,2.0,Better,5.0,7,0,10
295,36.0,No,1218,Research & Development,1,Below College,Life Sciences,Medium,Male,52,High,5,Manager,High,Divorced,4834.0,8213,1,Yes,14,Excellent,High,1,21,3.0,Better,1.0,8,1,6
296,39.5,No,530,Sales,16,Bachelor,Life Sciences,High,Male,36,High,2,Sales Executive,Very High,Divorced,4768.0,16130,1,Yes,25,Excellent,High,1,7,4.0,Better,1.0,5,1,2
297,33.0,No,953,Research & Development,5,Master,Technical Degree,Medium,Male,65,High,1,Research Scientist,Medium,Single,2799.0,17674,2,No,14,Excellent,Medium,0,12,1.0,Better,3.0,7,0,7
301,37.0,No,326,Sales,8,College,Life Sciences,Low,Female,31,High,3,Sales Executive,Very High,Divorced,5731.0,8386,1,No,18,Excellent,Low,1,13,2.0,Better,6.0,7,9,9
302,42.0,No,145,Sales,1,Bachelor,Life Sciences,Very High,Female,95,High,2,Sales Executive,High,Married,5410.0,24920,0,No,12,Excellent,Low,1,19,3.0,Better,4.0,7,0,13
303,23.0,No,1410,Sales,3,Below College,Medical,Very High,Male,71,Very High,2,Sales Executive,Very High,Divorced,1790.0,16673,1,Yes,20,Excellent,Medium,2,6,2.0,Better,1.0,5,0,4
304,20.0,No,1240,Research & Development,2,Master,Life Sciences,Very High,Female,33,High,1,Laboratory Technician,Low,Divorced,2323.0,19715,1,No,13,Excellent,Very High,1,1,3.0,Better,2.0,0,0,0
305,33.5,No,916,Research & Development,17,College,Life Sciences,Very High,Male,82,Very High,2,Research Scientist,Low,Single,3375.0,23016,3,Yes,13,Excellent,High,0,10,2.0,Better,3.0,2,0,2
309,28.0,No,1465,Research & Development,1,Bachelor,Medical,Very High,Female,63,High,1,Research Scientist,Medium,Married,3310.0,9369,0,Yes,21,Outstanding,Low,1,12,3.0,Better,5.0,9,5,7
310,39.0,No,1354,Research & Development,5,Bachelor,Medical,High,Male,45,Medium,3,Manager,Low,Single,3069.0,5615,2,No,12,Excellent,Very High,0,14,3.0,Better,10.0,10,5,8
311,59.0,No,849,Sales,26,College,Life Sciences,Medium,Female,98,Medium,2,Sales Executive,Medium,Single,13726.0,25166,8,No,15,Excellent,High,0,6,4.0,Better,5.0,2,2,2
312,34.0,No,571,Research & Development,12,College,Other,Very High,Male,78,High,1,Laboratory Technician,Very High,Single,2008.0,13672,1,No,13,MISSING,High,0,5,2.0,Best,1.0,2,1,4
313,35.0,No,1333,Research & Development,1,Bachelor,Technical Degree,Very High,Male,80,High,3,Research Director,Low,Married,8394.0,16292,1,No,13,Excellent,Medium,1,15,3.0,Better,13.0,12,5,11
315,38.0,No,1242,Sales,8,Master,Life Sciences,Low,Female,46,High,2,Sales Executive,Low,Married,4174.0,10589,2,No,13,MISSING,Very High,1,8,3.0,Bad,7.0,2,2,2
316,51.0,No,1154,Sales,2,College,Life Sciences,Low,Male,54,High,1,Sales Representative,High,Married,4174.0,6393,0,No,19,Outstanding,High,1,3,4.0,Better,4.0,2,1,2
318,36.0,No,1144,Sales,10,Below College,Medical,Very High,Male,74,High,1,Sales Representative,Medium,Married,9980.0,23384,1,No,22,Excellent,Medium,0,1,3.0,Better,10.0,0,0,0
321,38.0,No,285,Research & Development,29,Bachelor,Medical,Medium,Female,86,High,2,Laboratory Technician,High,Married,2064.0,17491,4,No,13,Excellent,Low,2,10,4.0,Better,6.0,7,7,7
322,39.5,No,192,Research & Development,10,College,Life Sciences,Low,Female,69,High,1,Research Scientist,Very High,Married,3038.0,9655,3,No,21,Excellent,Very High,2,8,3.0,Good,1.0,2,0,2
323,40.0,No,452,Research & Development,1,Bachelor,Medical,Very High,Male,81,High,5,Manager,Low,Single,10475.0,18938,0,Yes,14,MISSING,High,0,37,2.0,Better,18.0,10,4,13
324,33.0,No,1219,Sales,18,Bachelor,Medical,High,Male,86,High,2,Sales Executive,High,Married,7104.0,6179,1,No,16,MISSING,Medium,0,5,2.0,Better,5.0,2,1,0
325,39.5,No,1272,Research & Development,5,Bachelor,Technical Degree,High,Male,37,Medium,3,Healthcare Representative,Medium,Divorced,9610.0,9255,2,Yes,13,Excellent,Very High,1,24,2.0,Better,4.0,0,0,4
326,36.0,Yes,1141,Research & Development,11,College,Medical,Low,Male,61,Low,2,Healthcare Representative,Medium,Married,4678.0,14382,5,No,15,Excellent,Low,0,15,3.0,Bad,6.0,0,0,0
327,37.0,No,506,Research & Development,3,Bachelor,Technical Degree,High,Male,30,High,2,Research Scientist,Medium,Single,10609.0,26285,4,No,12,Excellent,Very High,0,10,2.0,Better,14.0,0,7,7
330,27.5,No,1213,Human Resources,2,Below College,Human Resources,Medium,Female,94,Medium,2,Human Resources,Very High,Single,7525.0,4223,1,No,21,Excellent,Very High,0,10,2.0,Good,15.0,1,0,8
331,48.0,No,750,Sales,22,College,Marketing,High,Female,95,High,2,Sales Executive,Medium,Married,6439.0,15480,0,No,13,Excellent,Low,1,8,2.0,Best,8.0,7,0,7
333,34.0,No,444,Research & Development,2,Below College,Medical,High,Male,40,Medium,4,Manager,Low,Single,9547.0,17323,7,No,15,Excellent,Medium,0,31,2.0,Best,10.0,7,6,2
334,39.5,No,532,Research & Development,29,College,Life Sciences,Low,Male,92,High,2,Research Scientist,High,Divorced,12614.0,12932,2,No,11,MISSING,Medium,1,19,3.0,Better,2.0,4,0,2
335,55.0,No,1157,Sales,2,Master,Life Sciences,High,Male,70,High,1,Sales Representative,Very High,Single,2064.0,17001,3,Yes,21,Excellent,Very High,0,7,3.0,Good,9.0,2,1,2
337,35.0,No,480,Research & Development,7,College,Medical,Medium,Male,31,High,2,Manufacturing Director,Low,Married,1951.0,4156,1,No,12,MISSING,Medium,1,13,3.0,Bad,1.0,10,3,12
338,40.0,No,335,Sales,17,College,Marketing,High,Male,33,Medium,2,Sales Executive,Medium,Married,2018.0,16822,2,No,16,Excellent,High,2,12,3.0,Bad,5.0,2,1,3
339,33.5,No,857,Research & Development,10,Bachelor,Life Sciences,Very High,Male,91,Medium,4,Manager,Low,Divorced,2235.0,12888,4,No,13,Excellent,Medium,1,21,3.0,Good,7.5,6,7,7
340,47.0,No,1018,Research & Development,3,College,Life Sciences,High,Male,39,High,3,Research Director,Very High,Single,12936.0,19373,3,No,15,Excellent,Very High,0,10,3.0,Better,2.5,7,7,7
342,29.0,No,1391,Research & Development,10,Below College,Medical,High,Male,66,High,1,Research Scientist,High,Married,2804.0,12127,0,No,17,Excellent,Medium,1,3,3.0,Good,1.0,1,0,2
343,33.5,No,664,Research & Development,1,Bachelor,Medical,Medium,Male,79,High,1,Research Scientist,Low,Married,5914.0,5868,4,No,13,Excellent,Very High,1,5,3.0,Good,13.0,2,1,2
344,24.0,No,580,Sales,5,Master,Life Sciences,Very High,Male,48,Medium,3,Sales Executive,Low,Married,3597.0,23772,5,Yes,21,MISSING,High,1,20,2.0,Better,4.0,13,1,12
345,39.0,No,552,Human Resources,4,Bachelor,Human Resources,High,Male,60,Low,2,Human Resources,Medium,Married,6472.0,20794,6,No,19,Excellent,Medium,1,10,2.0,Better,9.0,2,1,2
346,24.0,No,1332,Research & Development,11,College,Medical,High,Male,80,High,2,Healthcare Representative,Low,Married,2725.0,17089,1,Yes,12,Excellent,Very High,0,6,3.0,Good,6.0,5,0,1
348,43.0,No,849,Research & Development,25,College,Life Sciences,Low,Male,81,Medium,3,Research Director,Medium,Married,2064.0,26707,3,No,17,Excellent,High,1,19,3.0,Better,7.5,8,0,1
349,34.0,No,976,Sales,26,Master,Marketing,High,Female,100,High,2,Sales Executive,Very High,Married,2064.0,12069,0,No,18,Excellent,Low,0,4,3.0,Better,2.0,2,2,2
352,37.0,No,594,Research & Development,2,College,Medical,High,Male,75,Medium,1,Laboratory Technician,Medium,Married,6502.0,15963,4,No,14,Excellent,Medium,1,9,3.0,Good,5.0,1,0,5
353,24.0,No,216,Research & Development,6,College,Medical,Medium,Male,84,High,2,Manufacturing Director,Medium,Divorced,4617.0,2819,6,No,20,Excellent,Very High,2,7,2.0,Better,7.5,2,0,1
354,38.0,Yes,334,Sales,26,Master,Marketing,High,Male,52,Medium,2,Sales Executive,Low,Single,2064.0,22967,5,No,15,Excellent,High,0,9,2.0,Good,6.0,3,0,1
355,31.0,Yes,935,Research & Development,3,Bachelor,Life Sciences,Low,Male,89,High,1,Laboratory Technician,Low,Married,9936.0,14669,4,No,12,Excellent,High,0,10,2.0,Best,9.0,2,1,2
356,55.0,No,1297,Research & Development,5,College,Life Sciences,Very High,Male,53,High,1,Laboratory Technician,Very High,Single,10976.0,19826,0,Yes,14,Excellent,High,0,6,4.0,Good,3.0,4,0,2
358,60.0,Yes,1373,Research & Development,2,College,Other,Very High,Male,92,Medium,1,Laboratory Technician,High,Single,6284.0,2396,6,Yes,15,Outstanding,Medium,0,7,2.0,Better,1.0,0,0,0
361,27.0,No,329,Research & Development,1,College,Life Sciences,Very High,Male,98,Medium,1,Laboratory Technician,Low,Married,4621.0,16193,1,No,12,MISSING,High,1,4,4.0,Better,3.0,2,3,2
362,39.5,No,185,Research & Development,23,Master,Medical,Medium,Female,91,Low,1,Laboratory Technician,High,Married,5855.0,9696,0,No,16,Excellent,Medium,1,6,2.0,Best,9.0,4,0,3
363,37.0,No,1377,Sales,2,Bachelor,Life Sciences,Very High,Male,74,High,2,Sales Executive,High,Single,3564.0,5242,1,Yes,11,Excellent,Low,0,5,3.0,Better,8.0,4,0,4
364,34.0,No,823,Research & Development,6,Bachelor,Medical,Low,Female,81,Medium,5,Manager,High,Married,2742.0,22539,7,No,13,Excellent,Very High,0,21,2.0,Better,2.0,12,6,14
370,45.0,Yes,1320,Research & Development,8,Below College,Medical,Very High,Female,93,Medium,1,Laboratory Technician,High,Single,5006.0,20586,1,Yes,11,Excellent,Low,0,5,3.0,Better,5.0,4,1,2
371,21.5,No,1322,Research & Development,28,Bachelor,Life Sciences,Very High,Female,43,High,4,Research Director,Low,Married,6545.0,22422,4,Yes,11,Excellent,Medium,0,25,1.0,Better,3.0,2,1,2
373,56.0,No,957,Research & Development,28,Bachelor,Medical,Medium,Female,72,Very High,1,Research Scientist,High,Single,2064.0,16090,4,No,12,Excellent,Very High,0,18,2.0,Better,5.0,2,1,2
374,35.0,No,603,Research & Development,7,Master,Medical,Medium,Female,78,Very High,2,Research Scientist,Medium,Married,6284.0,5628,6,Yes,16,Excellent,Very High,0,18,2.0,Better,9.0,0,0,0
376,39.5,No,581,Research & Development,9,Bachelor,Medical,High,Female,62,Very High,1,Research Scientist,High,Married,2693.0,17616,1,No,16,Excellent,Very High,1,5,3.0,Better,1.0,3,0,4
377,49.0,Yes,869,Sales,3,College,Marketing,Low,Male,86,Medium,1,Sales Representative,High,Married,4174.0,3810,1,Yes,14,Excellent,High,0,3,2.0,Better,7.5,2,0,2
378,29.0,No,775,Sales,29,College,Medical,Low,Male,45,High,2,Sales Executive,High,Divorced,6644.0,4267,5,No,12,Excellent,Low,2,8,2.0,Better,0.0,0,0,0
379,33.5,No,658,Sales,10,Master,Marketing,Low,Male,67,Medium,3,Sales Executive,Medium,Divorced,2983.0,20652,2,No,12,Excellent,Medium,1,11,3.0,Good,3.0,0,0,0
380,34.0,Yes,1294,Research & Development,8,Below College,Medical,High,Male,79,High,1,Laboratory Technician,Low,Married,2768.0,15999,1,Yes,17,Excellent,High,0,1,3.0,Better,7.0,0,0,0
383,40.0,No,1050,Research & Development,11,Master,Medical,Medium,Female,87,High,4,Manager,Very High,Divorced,10435.0,24456,3,No,20,Excellent,Low,1,26,3.0,Better,18.0,9,1,12
384,38.0,No,1229,Research & Development,8,Below College,Life Sciences,Very High,Male,36,Very High,1,Laboratory Technician,Very High,Married,5321.0,4892,1,No,19,Excellent,Very High,0,1,1.0,Better,8.0,0,0,1
386,60.0,No,529,Research & Development,2,Bachelor,Technical Degree,Very High,Male,78,High,1,Research Scientist,Low,Single,5405.0,11288,1,No,14,Excellent,Very High,0,4,1.0,Better,2.0,2,1,2
387,45.0,Yes,920,Human Resources,20,College,Medical,Very High,Male,69,High,1,Human Resources,Medium,Married,10851.0,6889,0,Yes,11,Excellent,High,0,6,2.0,Better,7.0,1,1,4
388,34.0,No,977,Research & Development,2,Below College,Other,Very High,Female,57,High,1,Laboratory Technician,High,Divorced,6029.0,7298,6,Yes,19,Excellent,High,1,7,3.0,Good,2.0,2,0,2
389,28.0,No,888,Human Resources,10,Master,Human Resources,High,Male,71,High,2,Human Resources,High,Married,4908.0,14814,3,No,11,MISSING,High,0,10,3.0,Better,4.0,3,1,2
390,34.0,No,216,Sales,1,Master,Marketing,Medium,Male,75,Very High,2,Sales Executive,Very High,Divorced,2691.0,12278,0,No,11,Excellent,Very High,1,16,4.0,Good,10.0,1,0,9
392,39.0,No,1297,Research & Development,1,Master,Medical,Medium,Male,44,High,2,Healthcare Representative,High,Single,12169.0,14511,4,No,12,Excellent,High,0,12,3.0,Better,18.0,2,0,3
393,38.0,No,1117,Research & Development,8,College,Life Sciences,Very High,Male,66,High,1,Research Scientist,Very High,Single,4735.0,4488,1,No,21,Excellent,Very High,0,5,3.0,Better,13.0,3,0,2
394,36.0,No,1372,Sales,18,Below College,Life Sciences,Low,Male,93,Very High,2,Sales Executive,High,Married,2342.0,12477,2,No,11,Outstanding,Medium,0,6,3.0,Good,5.0,2,1,2
396,25.0,No,142,Sales,9,Master,Medical,Low,Male,69,High,3,Sales Executive,Medium,Divorced,4000.0,24666,1,No,13,Excellent,Very High,1,9,2.0,Better,6.0,5,7,7
397,30.0,No,444,Sales,5,Bachelor,Marketing,Very High,Female,84,High,1,Sales Representative,Medium,Divorced,4968.0,3909,1,No,11,MISSING,High,1,2,2.0,Good,9.0,2,2,2
398,35.0,No,1283,Sales,2,Bachelor,Marketing,Very High,Female,62,High,2,Sales Executive,Medium,Single,4859.0,10697,8,No,15,MISSING,Very High,0,13,3.0,Good,5.0,7,1,7
399,47.0,Yes,381,Research & Development,9,Bachelor,Medical,Medium,Male,89,High,1,Laboratory Technician,Low,Single,2064.0,16998,2,Yes,11,Outstanding,High,0,4,3.0,Good,17.0,0,0,0
401,30.0,Yes,1045,Sales,4,Master,Medical,Very High,Male,32,Low,3,Sales Executive,Very High,Married,9250.0,25812,1,No,11,Excellent,High,0,14,3.0,Good,4.0,8,9,8
402,32.0,No,1454,Sales,2,Master,Life Sciences,Very High,Male,65,Medium,1,Sales Representative,Very High,Single,4087.0,13137,1,Yes,18,MISSING,Low,0,3,3.0,Good,6.0,2,1,2
403,45.0,Yes,603,Sales,9,Master,Marketing,Low,Male,77,High,2,Sales Executive,Low,Single,6284.0,18385,0,Yes,17,Excellent,Low,0,6,3.0,Better,10.0,2,0,3
404,34.0,No,604,Sales,8,Bachelor,Medical,High,Female,56,Very High,2,Sales Executive,Very High,Married,2231.0,11693,1,No,15,Excellent,High,2,10,3.0,Best,4.0,7,0,8
408,33.5,No,1239,Human Resources,8,College,Other,High,Male,89,High,2,Human Resources,Medium,Divorced,4950.0,12832,2,No,13,Excellent,High,0,19,4.0,Good,4.0,0,4,7
409,39.0,No,182,Research & Development,8,Doctor,Life Sciences,Low,Male,93,High,4,Research Director,Medium,Single,10920.0,8847,3,No,11,Outstanding,High,0,9,2.0,Best,6.0,2,1,0
410,30.0,Yes,950,Sales,4,Master,Marketing,Very High,Male,48,Medium,2,Sales Executive,Very High,Single,8474.0,8450,1,Yes,12,Outstanding,Medium,0,8,2.0,Better,11.0,7,7,4
413,30.0,No,369,Research & Development,8,College,Life Sciences,Medium,Female,92,High,2,Manufacturing Director,Low,Married,4011.0,5041,2,Yes,16,Outstanding,Medium,1,18,2.0,Better,12.0,0,0,0
414,53.0,No,1323,Research & Development,2,Bachelor,Life Sciences,High,Male,89,Medium,1,Laboratory Technician,Very High,Single,2450.0,3300,7,No,15,Excellent,Medium,0,6,4.0,Good,2.0,2,2,2
415,45.0,No,1153,Research & Development,6,College,Other,Very High,Male,40,Medium,1,Laboratory Technician,High,Married,2348.0,16376,1,No,11,Excellent,Medium,1,5,2.0,Better,17.0,4,0,4
416,31.0,Yes,992,Research & Development,1,Bachelor,Technical Degree,High,Male,85,High,1,Research Scientist,High,Single,5582.0,19757,0,No,14,Outstanding,Very High,0,7,2.0,Good,9.0,2,1,5
417,47.0,No,515,Research & Development,1,College,Life Sciences,Low,Male,98,High,3,Research Director,Very High,Single,5467.0,15146,1,Yes,12,Excellent,High,0,15,4.0,Better,8.0,14,8,12
418,45.5,No,325,Research & Development,10,Master,Technical Degree,Very High,Female,63,High,3,Healthcare Representative,High,Married,4174.0,5747,3,No,12,Outstanding,Low,0,10,3.0,Better,2.0,7,1,7
419,39.5,Yes,143,Sales,4,Bachelor,Marketing,Low,Male,56,High,2,Sales Executive,Medium,Single,2064.0,9558,1,No,18,Excellent,High,0,8,2.0,Better,10.0,7,7,7
420,49.0,No,694,Research & Development,1,Bachelor,Life Sciences,Very High,Female,87,Medium,4,Research Director,Very High,Divorced,13964.0,3423,3,No,14,MISSING,Medium,2,9,2.0,Good,7.0,7,1,7
421,38.0,No,193,Research & Development,2,Bachelor,Life Sciences,Very High,Male,52,Medium,1,Laboratory Technician,Very High,Married,2610.0,14222,1,Yes,12,Excellent,Medium,1,2,2.0,Better,4.0,2,2,2
423,30.0,No,1176,Sales,3,College,Medical,Medium,Male,62,High,2,Sales Executive,High,Married,2064.0,3487,1,No,14,MISSING,Low,1,6,2.0,Good,1.0,0,1,2
424,36.0,No,1280,Research & Development,7,Below College,Medical,Very High,Male,64,Medium,1,Research Scientist,Very High,Married,3886.0,26897,1,No,11,Outstanding,High,2,2,2.0,Better,10.0,2,2,1
426,32.0,No,277,Research & Development,6,Bachelor,Life Sciences,Low,Male,97,Medium,2,Healthcare Representative,High,Single,2064.0,13119,2,No,13,Outstanding,Very High,0,19,2.0,Better,1.0,2,2,2
428,59.0,No,1315,Research & Development,22,Bachelor,Life Sciences,Medium,Male,71,Very High,3,Manager,Medium,Divorced,11904.0,19100,7,No,18,Excellent,Medium,1,10,1.0,Good,6.0,7,6,2
429,45.0,Yes,676,Research & Development,9,Master,Life Sciences,Very High,Male,86,High,1,Laboratory Technician,Low,Single,4805.0,21831,3,No,14,Excellent,Medium,0,15,3.0,Bad,8.0,4,1,0
430,36.0,Yes,1184,Sales,11,Bachelor,Marketing,High,Male,43,High,3,Sales Executive,Very High,Married,8847.0,5860,1,No,18,MISSING,Low,2,9,2.0,Best,3.0,8,7,7
432,34.0,Yes,1277,Research & Development,15,Below College,Medical,Medium,Female,56,High,3,Manager,High,Married,4174.0,24619,7,Yes,12,Excellent,Very High,0,15,2.0,Best,4.0,6,7,7
434,28.0,No,1488,Sales,1,Doctor,Marketing,Medium,Male,75,High,2,Sales Executive,Low,Divorced,3485.0,4009,5,Yes,21,Excellent,High,1,9,3.0,Good,0.0,3,1,3
435,46.0,No,1354,Research & Development,2,Master,Technical Degree,Medium,Male,41,High,1,Research Scientist,Medium,Married,9396.0,6073,1,No,11,Excellent,High,1,6,3.0,Good,4.0,3,1,2
436,29.0,No,585,Sales,29,Master,Life Sciences,Low,Female,40,High,1,Sales Representative,Very High,Divorced,2974.0,19788,2,No,15,Excellent,Medium,2,16,2.0,Good,5.0,8,0,0
438,27.5,No,1411,Research & Development,19,College,Life Sciences,High,Male,36,High,2,Research Scientist,Low,Divorced,3875.0,19877,2,No,16,Excellent,Low,2,17,2.0,Good,2.0,0,0,0
439,51.5,No,180,Research & Development,2,Below College,Medical,Low,Female,65,Very High,1,Research Scientist,Low,Single,8268.0,21632,7,No,13,Excellent,High,0,6,2.0,Good,7.0,3,0,1
441,47.0,Yes,299,Sales,25,Master,Marketing,Very High,Male,57,Medium,3,Sales Executive,Medium,Single,11849.0,17235,2,Yes,12,Excellent,High,0,9,2.0,Better,10.0,4,1,0
